model,train_time,inference_time,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,White,Black,Asian,Indian,Others
vit_b_16_0,0:39:56.193301,0:00:38.869742,1.1108395269283882,0.9621220018182483,0.9673171128545489,0.5813799337149744,0.6453880764904387,63.5519802570343,0.86551267,0.6740413,0.38825756,0.4810345,0.08178439
vit_b_16_1,1:40:00.265765,0:00:38.369930,1.097084816144063,0.9660119116306305,0.9706125642572131,0.580295269659536,0.6442632170978627,63.444240604128154,0.87217045,0.6179941,0.45454547,0.46034482,0.078066915
vit_l_32_6,0:10:37.426642,0:00:12.564738,0.9694148453382345,0.9093906049217496,0.9777797503130776,0.6445314853871648,0.6749156355455568,64.41334422145572,0.71955234,0.7027027,0.45857418,0.7708674,0.09090909
vit_b_16_6,0:14:45.988095,0:00:14.906821,1.1019058213784145,0.9706751023020063,1.0147306621074677,0.5812594154865923,0.6386389201349831,61.89665836947305,0.7741935,0.6471471,0.50289017,0.44844517,0.24380165
vit_b_32_6,0:04:31.917867,0:00:06.995364,1.2746737947830786,1.3931864925793238,1.407603268112455,0.5002711660138596,0.4485376827896513,43.03477502294949,0.7662936,0.16666667,0.1194605,0.26350245,0.12809917
vit_l_16_6,0:18:04.673726,0:00:19.111501,0.7840045066980216,0.7430457515375954,0.804291810308184,0.7173244953299186,0.7370641169853769,72.82504205192838,0.8130349,0.7972973,0.6416185,0.7201309,0.2107438
vit_b_16_3,0:14:48.142159,0:00:15.186885,1.1120560953250298,0.9652623640639442,1.002098092011043,0.5761976498945466,0.6467941507311586,63.31964944090162,0.7913101,0.7087087,0.41811174,0.5237316,0.1694215
vit_b_16_2,0:15:38.462361,0:00:15.355087,1.0937137177357308,0.9563481083938054,0.997261283653123,0.5804760470021091,0.6529808773903262,62.705810155187336,0.8255431,0.6606607,0.4470135,0.43862522,0.14876033
vit_l_16_0,0:45:20.774847,0:00:43.337607,0.7665550392407637,0.7414883183581489,0.788201208625521,0.7264838806869539,0.7373453318335208,72.24656343460083,0.8136932,0.7897898,0.62813103,0.7119476,0.19008264
vit_l_16_2,0:45:18.211945,0:00:43.315136,0.7800147322508005,0.752524984734399,0.7932625051055636,0.7178065682434468,0.7314398200224972,72.38413840532303,0.8308098,0.7357357,0.66088635,0.69394433,0.23140496
vit_l_16_1,1:40:25.160230,0:00:41.863703,0.7624062198858995,0.7225293580974851,0.773029876606805,0.7227478156071105,0.7426884139482565,72.92366517441613,0.83344305,0.8078078,0.6242775,0.6841244,0.19421488
vit_l_16_5,0:39:14.036054,0:00:39.384002,0.8918691956079923,0.8644626417330333,0.9037853223936898,0.6730340463995179,0.6858830146231721,67.6612777369363,0.76036865,0.7822823,0.5452794,0.65139115,0.20247933
vit_l_16_4,0:18:36.631562,0:00:19.818425,0.765979180427698,0.7409983915942056,0.7911714975322995,0.7231093702922567,0.7395950506186727,72.25208835942405,0.80315995,0.7882883,0.6512524,0.7250409,0.18181819
vit_l_16_7,1:40:33.390474,0:00:41.186939,0.910597262932704,0.8652667381933757,0.8972446152142116,0.6651401024404942,0.6943194600674916,68.60247956854957,0.7537854,0.7267267,0.6820809,0.6873977,0.15289256
vit_l_16_8,1:56:06.337869,0:00:45.508218,0.7523671296926645,0.7320466765335628,0.7811004647186824,0.7230491111780657,0.7412823397075365,73.06869902781078,0.8248848,0.8198198,0.64547205,0.67757773,0.2107438
vit_l_32_0,0:12:32.872372,0:00:13.920914,0.9143266503627484,0.8902889064380101,0.9514887205192021,0.6635733654715276,0.6698537682789651,64.76114967039653,0.7327189,0.6486486,0.45857418,0.7888707,0.16528925
vit_l_32_2,0:12:20.469611,0:00:12.640101,0.919324405835225,0.9181670354945319,0.9784829169511795,0.6601988550768304,0.6541057367829022,62.99035315002714,0.72876894,0.5660661,0.40655106,0.7855974,0.27272728
vit_l_32_1,0:30:12.205566,0:00:12.276705,0.8933112112375406,0.8821454069444111,0.9518720316035407,0.6680325399216631,0.6771653543307087,64.94347815002713,0.720869,0.6516517,0.45279384,0.80032736,0.23966943
