pretrained,epochs,batch_size,model,train_time,inference_time,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,White,Black,Asian,Indian,Others
True,10,64,vit_l_16_a100,0:33:22.113849,0:00:29.982054,0.8097519585719475,0.7544835305639676,0.7991089416401727,0.7084664055438386,0.7294713160854893,71.98359072208405,0.8683344,0.7252252,0.5356455,0.7119476,0.17768595
True,10,64,vit_l_32_a100,0:09:18.745975,0:00:09.109362,0.9347330208008106,0.9031021765300206,0.9673530246530261,0.653570352515818,0.6619797525309337,64.53079751559666,0.77156025,0.6081081,0.38921002,0.7855974,0.15289256
True,10,64,vit_b_16_a100,0:10:08.241926,0:00:09.421617,1.0913695651751298,0.9343655247773442,0.9750835682664599,0.58288641156975,0.6577615298087739,63.57459585581507,0.82159317,0.6816817,0.5067437,0.44680852,0.09504132
True,10,64,vit_b_32_a100,0:03:16.465709,0:00:03.692214,1.2738886269239278,1.3873116267578942,1.41562885258879,0.49924676107261223,0.4389763779527559,42.7214044545378,0.6958525,0.3123123,0.111753374,0.22913256,0.22727273
False,10,64,vit_l_16_a100,1:17:46.339911,0:00:32.466684,1.2426461868561232,1.1964810671550887,1.2466884606650896,0.5175655317866827,0.5385264341957255,52.165027814252035,0.8308098,0.6651652,0.10982659,0.15220949,0.0
False,10,64,vit_l_32_a100,0:21:21.255270,0:00:10.219498,1.1048213475025617,1.0609028988650866,1.107517461691584,0.5820427839710757,0.6082677165354331,58.12092785324369,0.879526,0.6126126,0.29672447,0.27659574,0.0
False,10,64,vit_b_16_a100,0:23:16.231898,0:00:09.293235,1.2154153505196938,1.1952595944915498,1.2546971142292023,0.5272069900572461,0.5568053993250843,53.62874035324369,0.90125084,0.6876877,0.057803467,0.0801964,0.0
False,10,64,vit_b_32_a100,0:06:48.345300,0:00:03.532681,1.0824253215239599,1.0599758656961578,1.1025941052607127,0.588611027417897,0.6158605174353206,59.5212958753109,0.8630678,0.506006,0.35452795,0.46317512,0.0
True,25,64,vit_l_16_a100,1:16:35.047850,0:00:30.883220,0.7619856625795365,0.737906218639442,0.7821672228830201,0.7274480265140102,0.7446569178852643,73.06421941944531,0.8136932,0.8018018,0.6628131,0.7070376,0.20661157
True,25,64,vit_b_16_a100,0:23:34.039437,0:00:08.847297,1.086063376069069,0.9500667452812195,0.9877309000917843,0.585899367279301,0.6600112485939258,63.84607266102518,0.84463465,0.6321321,0.47591522,0.45008183,0.18181819
True,25,64,vit_l_32_a100,0:21:44.360052,0:00:08.339563,0.8974835521899737,0.8486414392079625,0.9228526162249702,0.6671889123229888,0.6901012373453318,66.12119930131095,0.7518104,0.6696697,0.4894027,0.7757774,0.15289256
True,25,64,vit_b_32_a100,0:08:00.196348,0:00:03.404250,1.261918944120407,1.3316427426678794,1.3529836216143198,0.504308526664658,0.484533183352081,47.365920671394896,0.8005267,0.22372372,0.27938342,0.2569558,0.0661157
False,25,64,vit_b_16_a100,0:53:10.587415,0:00:09.320269,0.9951709900911038,0.9507447129913739,1.0088331561003412,0.631033443808376,0.6541057367829022,62.605574301310945,0.8420013,0.6891892,0.42003852,0.44026187,0.008264462
False,25,64,vit_l_32_a100,0:48:09.816320,0:00:08.299883,1.0037842232447405,0.9916831191096988,1.0195684911949294,0.6259716782163303,0.6425759280089989,63.412463877882274,0.80710995,0.6456456,0.62620425,0.44517186,0.0
False,25,64,vit_b_32_a100,0:15:53.136059,0:00:03.452704,0.8581107212946966,0.8451299081955638,0.9053141974977085,0.6861705332931606,0.7007874015748031,67.6535353064537,0.83344305,0.7462462,0.5876686,0.54664487,0.012396694
False,25,64,vit_l_16_a100,3:08:59.457171,0:00:31.397011,1.057239491205949,1.0664074740239553,1.1110741602522987,0.6010244049412473,0.6195163104611924,60.365890498672215,0.89400923,0.6576577,0.28709057,0.3289689,0.0
